10ba2017121423130_4184996623265619|不抱太大的希望，尽最大的努力，该干什么就干什么。 ​​​​
94272017121421530_4184976515342376|喜欢 @忘了那时候的你我_@_Biu糯米12138@_唐影Kelly
7dde2017121503270_4185060615513763|@英文名叫Wendy的Danni @辰小盐_798 @天啊你的头像有氵 @珊珊5591421810 红红火火恍恍惚惚
bb232017121504140_4185072384812306|横店影视城12月13日剧组动态 ​ 299189899 ​​​​
d3742017121600140_4185374458397758|转发微博
363c2017121421590_4184977966941184|转发微博
f03d2017121512160_4185193697030874|转发微博
ee6b2017121520100_4185313033053510|裸考的不要脸期待 过吧过吧//@热阿华田-:我就不一样了 我求考试 明天的预算员啊 还有下周的四级啊啊啊
a5ec2017121515590_4185249686317433|今天看了关于刘鑫的新闻，证词啥的，肺都快气炸了。欺负江歌不会说话啊！ 不是人啊！
3c832017121509540_4185157856485805|下联；十年经验九洲跑遍八面玲珑忙得七窍生烟到头六亲不认五体投地依旧四肢勤快三更加班只为二个臭钱一生奔波 2贵港·盛湖便捷酒店 ​​​​
10ae2017121606110_4185464074147247|#反对大姨妈暴力#那几天是家人的受难日！看见谁都发脾气！，经期很容易暴露我的坏脾气，一来大姨妈就被说脾气很不好。 ​​​​
bb412017121518100_4185282641448255|#魅力中国城#还真是值得人期待呢！。 ​​​​
a07b2017121418570_4184932294926676|#手机拍大片##快乐大本营#吴昕张若昀合唱《追光者》，这次吴昕没跑调！是不是只要男嘉宾和吴昕搭档就能上热搜呢~而且两人唱的还不错呀L圈教主的秒拍视频 ​​​​
543a2017121512170_4185193897944733|#张一山眼线#张一山真的是能够hold住任何的角色，发自内心的佩服。 ​​​​
4ac02017121502160_4185042739461793|深的话要浅浅地说，长长的路要挥霍地走。大大的世界要率真地感受，会痛的伤口要轻轻地揉。 ​​​​
b2ac2017121509370_4185153728876001|师傅给我疯狂加肉 爱他 ​​​​
f03e2017121500440_4185019624555732|永远一直支持你
38e92017121502480_4185050599713977|转发微博
23642017121421490_4184975492823917|@长亭夜凉 //@风一吹就瘦了:好多人没get到戳人G点的本质是最后那句：“如果她演的好，是她努力的结果，如果观众有疑议，那就冲我来。”  前面的场面话可以理解，这句装B装大发了吧
f4012017121523120_4185358649967314|希望一切都没事我以后会注意的 2广州·海龙街区 ​​​​
96562017121522030_4185341432505131|转发微博
52472017121600170_4185375138546690|//@小川攻子:转发微博
f16b2017121500090_4185010758268044|转发微博
e81c2017121509590_4185159086016552|高级广告，走心了！//@来去之间:#每天转个广告# //@一横三竖卅:我天这个广告！
d00a2017121508440_4185140294678993|房间以地台的方式设计，规划出了收纳区域，以深浅不同的实木搭配出层次感。壁柜的设计藉由玻璃及格状式的木作规划为门片，通透具悠闲质感。 ​​​​
74d82017121515570_4185249355343210|【钦州】中国密如繁星的众多城市中，在举世闻名的北部湾顶上， 有一座颇具特色的滨海之城——钦州，钦江、茅岭江和大风江穿城而过，流入浩瀚的钦州湾出海。 ​​​​
266b2017091021240_4150542273900842|@成旻云_针针  @穿衣搭配_女王大人  @CHAchi赖宝
df8d2017091021240_4150542266248998|@愤怒的蜗牛1994 @若指芊芊 @just_onetime
9f4e2017091021240_4150542261290268|@皇家焦凯乐  @嘻嘻-汤圆  @低调的sky
c24a2017091021240_4150542257367687|@王者荣耀君 @电竞组 @王者荣耀泡面番
cdd92017091021240_4150542357685174|@嗨氏
06ae2017091021240_4150542324063168|@柴知道  @  @晁然然然然  @阿华家的懒轻轻  中奖绝缘体
7d312017091021240_4150542312035618|中奖绝缘体@周小帅私房菜  @EXO官网资讯台  @最高人民检察院
a57a2017091021240_4150542303818170|转发微博
ae362017091021240_4150542290714046|@嗨氏  @王者荣耀宋点券  @诗仙欧尼酱   让我中一次吧
8b2f2017091021240_4150542348949767|@神秘的梦得君  @仙女九九离  @晗二喵
b0522017091021240_4150542337262648|转发微博
34a72017091021240_4150542333241255|吼吼吼@嗨氏  @玛丽先生-  @冰上转圈圈
cac52017091021240_4150542387370073|@大胃王密子君  @表情包斗图君  @BIGBIG张大大
cdbd2017091021240_4150542383688339|@左岸潇 @BTS_ChicChicy @南国早报
1a932017091021240_4150542374761247|6666
1e532017091021240_4150542362671943|转发微博
1c402017121523350_4185364422158360|肚子好痛 ​​​​
a4092017121501170_4185027896133824|以前在央六上看的//@迷影心生:转发微博
5ae02017121509010_4185144489012727|转发微博
1f732017121512150_4185193327768152|我来啦
1ae42017121517310_4185272864106624|为什么不把灯泡吃了呢！！！ ​​​​
65202017121602020_4185401612372624|#巨胖cp#   硕鼠阿狸老师真的是很优秀
a8f82017121513330_4185213154605233|转发微博
f6652017121510290_4185166794472299|一缕乡愁，魂兮归来。 余老安息。
eb172017121422150_4184982081403671|不得不感叹时光飞逝，一年又一年，又有多少人会留在你身边。 ​愿一切安好！ ​​​​
6f382017121418420_4184928402824907|前方的路很艰难，虽然开了个好头，但是cpa每一科都不是白送的，必须给自己坚持的理由，不畏艰难，不回头，不停下，不迷失，勇往直前，就像什么都不曾拥有一样。2017.12.14再次启程 ​​​​
c4292017121607190_4185481258830081|#成龙面部扭曲#觉得成龙特别棒顶一下，这简直就是太可怕了啊！，很期待的，这表情包必须收藏了，当然想知道会是怎么样的饮品呢！，挺让人好奇的呀，其实这个感觉就是很好的，激动过头了，第一次看到大哥面部扭曲了。
27552017121605550_4185460177586763|我参与了@人气明星榜 发起的投票 【榜~淘汰赛12进5年度最具明星势力人气王】，我投给了“pgone”这个选项。你也快来表态吧~
541e2017121423310_4185001022748913|晚安 ​​​​
1cc42017121513120_4185207635093498|女人最高级的“炫富”，莫过于年龄成迷，身材无敌！ ​​​​
e3792017121600430_4185381593222062|分享图片 2承德·承德石油高等专科学校 ​​​​
85752017121517440_4185276210979681|高铁上的转发@宝宝就酱开心 @毕的- @孫呢呢呢
d0a52017121602490_4185413444642190|转发微博
e4ef2017121602360_4185410004997606|转发微博
64b02017121501210_4185028928385092|转发微博
b23a2017121601270_4185392620209171|思念如刀 刀刀刺骨 刀刀扎心 ​​​​
01fb2017121519520_4185308356342651|启蒙动画
67602017121508440_4185140433456107|有同学说看这照片想到了鹿晗，虽然知道是朋友间瞎逗弄的夸奖，但还是好高兴啊哈哈，可惜我是梅格妮，哈哈哈，有没有人来夸夸我像吴亦凡的，我不会当真的就是享受一把被夸成偶像的感觉#吴亦凡##吴亦凡##吴亦凡1106生日快乐# ​​​​
57b92017121504580_4185083357793843|#大成美食#我是一个知足常乐的人，我期待着生活中的小惊喜。
d1ee2017121518290_4185287493940490|//@我是风啊1888_80g:三年后不能退货！//@茶香字海里默轩://@殆知阁: //@庞忒投: //@发霉馒头: //@荒村野店老板娘: //@欧美二线品牌://@谢小嘤:哈哈哈哈哈哈哈ヾﾉ≧∀≦)o
4afa2017121418200_4184922917007154|//@笑话:会玩
88242017121421280_4184970165636776|星期六 ​​​​
37d82017121601070_4185387608251198|转发微博
7cb52017121607440_4185487512340014|Repost
14592017121423410_4185003598310295|转发微博
8c622017121604000_4185431107469510|转发微博
aec82017121418500_4184930483344801|请给我们南方暖气 谢谢！
d2fa2017121508480_4185141263686590|走了这么久……✎SimpleLife丨不知道是因为越来越独立，丨转、还是越来越心虚；发现唯一靠的住的还是自己 ​​​​
bacf2017121607110_4185479321078750|//@系录芥末_神样积点存储中:39！//@阿飄要天天開心:39
d0962017121601320_4185393941482810|
b2a22017121600220_4185376455636312|[心]
d10a2017121521170_4185329722510918|//@Derive衍生_产出推广博:#易烊千玺# #一心一意，易烊千玺# 【饭绘】嘎嘎嘎姐姐~@TFBOYS-易烊千玺  KUnpredictableKNothing to Lose
40872017121419120_4184935843342446|我的天，马尼马尼哄，显灵啊
dbda2017121523460_4185367235858291|贝万合体 O微博故事 ​​​​
51c22017121518120_4185283371199128|fine。又高兴又悲伤//@大仙儿是个蓝胖子:研究生！！！！！//@茶蛋锥:厉害//@隔壁姨母://@DOUBLE-Q614:伯贤已经大学毕业了他已经考大学院啦韩国的大学院在读就是研究生，毕业以后是硕士学位【他现在哈哈哈哈哈不是大学生而是研究生啦
12292017121516290_4185257324362830|躺赢的感觉太酷了 ​​​​
c1e92017121512520_4185202655440474|小猪佩奇胖敷敷粉棱棱的，虽然她不是毛隆隆的，但看着卵绵绵乏妞妞的。 ​​​​
c2822017121605400_4185456314799131|最好的时光里我依然独自一个人走在那条浮华炫丽却不属于我的街 ​​​​
6d9b2017121513140_4185208318011223|昨夜西风凋碧树。独上高楼，望尽天涯路 ​​​​
0be72017121421510_4184975907027158|发表了一篇转载博文《[转载]中共中央反右斗争文件原文》°[转载]中共中央反右斗争文件原文 ​​​​¡查看图片
c8472017121420580_4184962724885870|发表了一篇转载博文《[转载]罕见照片，这辈子看一次值了，速速珍藏！》°[转载]罕见照片，这辈子看一次值了，速速珍藏！ ​​​​¡查看图片
17472017121523500_4185368389606181|转发微博
bfd42017121523250_4185362048243109|转发微博
b2512017121516130_4185253326845862|转发微博
fe4d2017121420590_4184962904676418|When you lost someone it stays with you,always reminding you of how easy it is to get hurt. ​​​​
148b2017121512430_4185200554134040|扫到多少评论找我套现，全额返 ​​​​
bcab2017121511280_4185181689053113|[可怜]
410e2017121601480_4185398085360159|[加油]
6a262017121419460_4184944584668359|生活总是一直在变动的，环境总是不可预知，现实生活中，各种突发状况总是层出不穷。我们要如何面对生命呢？我们毋需等到生活完美无瑕，也毋需等到一切都平稳，想做什么，现在就可以去做。 ​​​​
06cc2017121518350_4185289129434838|转发微博
4d082017121514440_4185230992972392|试试一个人干所有事 ​​​​
daa82017121419100_4184935482532013|牛逼
3ced300_143f85095466632ba3e4311d729db943|高定这个词对很多人并不陌生， 但面对那些价值不菲的奢华高定， 却又是很多人遥远的想象， 高定以手工和细节之美铸就那些不可比拟的惊艳， 给我们带来生活和视觉上的品质塑造！ 到底怎样的高定细节 才能算得上名副其实的精巧和华丽， 怎样的高定才能走上国际T台， 成为万众瞩目的收藏品！ 又是怎样的高定才能拥有30000欧元之上的价值呢？   开眼界·价值30000欧元之上的精巧高级定制细节 艺针意线·让我们从传统出发有没有想学的？后台留言告诉阿斤！ END 编辑：阿斤 来源：高级服装技术圈 （转载需注明） 全是干货-扫码勾搭
b8a2300_d02da9f558c0116a90c49d52bbd63d00|从朋友到恋人，要跨越这个关系除了告白这个途径，就是对你的付出了，付出到让你不得不去正视他的存在。但有些女人比较“迟钝”，或者是即便感觉到了也不敢相信，然后告诉自己不要多想。 事实上很多男人都不会太隐藏自己的喜欢，即便是还没到告白时间的暧昧阶段，他也会接连出招对你好。目的没有别的，就是要让你知道“我对你很有意思”或者提醒你“我正在追求你”。 1、问候聊天成日常 重要的事情大声说一遍：就算是普通朋友也不会每天聊天，每天聊天也不会问候你的日常。出发点不在于有任何要事，单纯想和你聊天，想知道你近况，而且是每天每天。即使你们谁忙了，可能没有空闲聊天，传个简单文字或贴图，都是他的一份想念。每个收到这种趋近于暧昧的关心的人都可以试想，对方拿着手机，踌躇半天传讯息，这要有怎样的想念和勇气，以及你对于他的重要性。 2、会送你礼物且绝对走心 到了节日或者是你的生日，他绝对会给你礼物，而且毫不含糊。所谓的不含糊就是，会送出普通异性朋友不会送的礼物。比如手工做的礼物，比如某次你提到一直想要却没有的东西，比如像是花、饰品等等暗示性高的物品。说明你在他心中的地位很高。 3、单独约你出去 单独邀请你出去，又不会做越矩的事情，甚至会请你吃饭，陪你逛街，带你见识新鲜好玩的事情，这绝对是男人追求一个女人的戏码。可能吃饭逛街免不了俗套，但要知道他们其实很不会浪漫，他们只是想更多机会和你在一起而已。当然每一次的约会，无论多晚他都会先把你安全送到家，也是他对你爱的表现。 4、假装有缘 “偶遇”这一招数，历来是追求异性的惯用“伎俩”之一，往往屡试不爽。在上下班的路上，你经常会发现他的踪影，他仿佛与你如影相随。又或者，他常对你说“咦，我也喜欢这个牌子的衣服”“我也喜欢到那家餐厅吃饭”之类的话，让你感觉到他的喜好和生活习惯与你相似。他对你出这一招，并不奇怪。而且，言语间，他表明与你有共同嗜好，生活习惯又相似，好像在说“我们真是天生的一对啊”。 5、光明正大地打听你 他会到处向旁人以及你身边的朋友打听有关你的一切。如果只是默默地打听，他可能只是在暗恋你；但当他的打听一点都不加遮掩，光明正大的，说明他已经对你发起了攻势。他要让身边的朋友都知道，他正在追求你，其他人对你想都不要想了。 6、叫你起床 这个行为本身就有点“小暧昧”，一天的开始就能听到有喜欢的声音，整天绝对就能充满活力。这招是最简单最常被用，也成功率最高的一个。不为什么，因为当他提出了这个要求，而你也答应了，其实就是一拍即合。因为不会有女生让自己没感觉的异性叫起床。更何况现在都什么时候了，打电话叫起床不如自己手机多订几个闹钟。所以，这就是你们彼此卸下心房的开始，小小一个打电话叫起床的动作，包含的是男人想给你的照顾，以及你默许他对你好的证明。 7、对你和对别人不一样 喜欢一个人会让人见色忘友，茫茫人海里第一眼也找得到你。也就因为你的存在对他来说如此巨大，别人都没有的，就只给你。别人都有的，你可以拿到更好的。对他来说你是第一考虑的，面对别人质疑偏心，他也毫不否认。他才不懂什么是一视同仁，因为想要和你在一起，你就是那最特别的人。
